 message:Failed Article id: 17136355 LoadArticle Timeout expired.  The timeout period elapsed prior to completion of the operation or the server is not responding.
 message:Failed Article id: 22364421 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22362671 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22362210 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22363821 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22364712 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22349834 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22363648 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22363341 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22362365 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22367367 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22368272 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22367413 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22371544 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22380541 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22388078 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22387812 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22388637 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22396732 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22396730 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22396734 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22396742 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22396744 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22397839 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22396718 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22397461 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22404861 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22403656 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22405447 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22409824 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22408510 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22408523 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22410620 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22410626 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22396733 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22412563 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22405661 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22416378 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22417711 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22417991 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22421483 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22427822 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22428316 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22432930 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22435308 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22435785 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22440263 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22443732 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22443736 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22443737 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22443742 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22445432 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22442846 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22452369 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 19175480 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22457720 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22457792 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22458463 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22459576 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22443733 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22459123 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22457789 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22462360 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22462411 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22467825 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22470164 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22470601 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22475487 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22475664 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22478080 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22483670 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22485960 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22485203 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22491808 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22492366 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22492369 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
 message:Failed Article id: 22492381 LoadArticle Error Sp: LoadArticle Number: 1105  Message: Could not allocate space for object 'dbo.article'.'PK_article' in database 'ArticleDataDb' because the 'PRIMARY' filegroup is full. Create disk space by deleting unneeded files, dropping objects in the filegroup, adding additional files to the filegroup, or setting autogrowth on for existing files in the filegroup. 
  
